"Date.Day","Date.Month","Date.Year","Data.Cases","Data.Deaths","Location.Country","Location.Code","Data.Population","Location.Continent","Data.Rate"
"5","11","2020","121","6","Afghanistan","AFG","38041757","Asia","3.74588377"
"4","11","2020","86","4","Afghanistan","AFG","38041757","Asia","3.78268543"
"3","11","2020","95","3","Afghanistan","AFG","38041757","Asia","3.78794281"
"2","11","2020","132","5","Afghanistan","AFG","38041757","Asia","3.76691329"
"1","11","2020","76","0","Afghanistan","AFG","38041757","Asia","3.57501889"
"31","10","2020","157","4","Afghanistan","AFG","38041757","Asia","3.55398937"
"30","10","2020","123","3","Afghanistan","AFG","38041757","Asia","3.26483343"
"29","10","2020","0","0","Afghanistan","AFG","38041757","Asia","2.94150452"
"28","10","2020","113","7","Afghanistan","AFG","38041757","Asia","3.02562261"
"27","10","2020","199","8","Afghanistan","AFG","38041757","Asia","2.90207416"
"26","10","2020","65","3","Afghanistan","AFG","38041757","Asia","2.71806583"
"25","10","2020","81","4","Afghanistan","AFG","38041757","Asia","2.79955524"
"24","10","2020","61","2","Afghanistan","AFG","38041757","Asia","2.58663132"
"23","10","2020","116","4","Afghanistan","AFG","38041757","Asia","2.45256811"
"22","10","2020","135","2","Afghanistan","AFG","38041757","Asia","2.35004918"
"21","10","2020","88","2","Afghanistan","AFG","38041757","Asia","2.17392693"
"20","10","2020","87","5","Afghanistan","AFG","38041757","Asia","2.10558098"
"19","10","2020","59","4","Afghanistan","AFG","38041757","Asia","2.25804502"
"18","10","2020","68","3","Afghanistan","AFG","38041757","Asia","2.21861467"
"17","10","2020","47","4","Afghanistan","AFG","38041757","Asia","2.05826455"
"16","10","2020","0","0","Afghanistan","AFG","38041757","Asia","1.94785956"
"15","10","2020","32","1","Afghanistan","AFG","38041757","Asia","1.99254729"
"14","10","2020","66","0","Afghanistan","AFG","38041757","Asia","1.94523087"
"13","10","2020","129","3","Afghanistan","AFG","38041757","Asia","1.81116766"
"12","10","2020","96","4","Afghanistan","AFG","38041757","Asia","1.50361089"
"11","10","2020","0","0","Afghanistan","AFG","38041757","Asia","1.25125661"
"10","10","2020","10","1","Afghanistan","AFG","38041757","Asia","1.34326078"
"9","10","2020","77","2","Afghanistan","AFG","38041757","Asia","1.33274601"
"8","10","2020","68","1","Afghanistan","AFG","38041757","Asia","1.1723959"
"7","10","2020","62","2","Afghanistan","AFG","38041757","Asia","1.05936222"
"6","10","2020","145","5","Afghanistan","AFG","38041757","Asia","1.08302043"
"5","10","2020","44","0","Afghanistan","AFG","38041757","Asia","0.78072104"
"4","10","2020","7","4","Afghanistan","AFG","38041757","Asia","0.66505866"
"3","10","2020","5","0","Afghanistan","AFG","38041757","Asia","0.97524412"
"2","10","2020","17","0","Afghanistan","AFG","38041757","Asia","1.08564912"
